LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME
31.32424722,31.32424722,-85.82539444,-85.82539444
31.89215833,31.89215833,-85.308375,-85.308375
32.462375,32.462375,-86.12166389,-86.12166389
34.65580556,34.65580556,-86.10714444,-86.10714444
32.15759167,32.15759167,-86.11290833,-86.11290833
34.51978056,34.51978056,-87.29436389,-87.29436389
32.57805,32.57805,-86.15521667,-86.15521667
34.95091667,34.95091667,-86.78666111,-86.78666111
34.42400556,34.42400556,-85.93924444,-85.93924444
33.25102222,33.25102222,-87.13400556,-87.13400556
34.15727778,34.15727778,-86.46378333,-86.46378333
32.40020833,32.40020833,-86.22177778,-86.22177778
32.35941667,32.35941667,-86.09588333,-86.09588333
33.15491944,33.15491944,-87.54878056,-87.54878056
33.05033889,33.05033889,-87.13414444,-87.13414444
31.46472778,31.46472778,-87.35318611,-87.35318611
34.46006389,34.46006389,-86.94760556,-86.94760556
33.46453611,33.46453611,-86.75705833,-86.75705833
34.91023611,34.91023611,-87.68719167,-87.68719167
34.20625556,34.20625556,-86.85942222,-86.85942222
34.04996944,34.04996944,-87.16705,-87.16705
33.961325,33.961325,-86.64896111,-86.64896111
32.43547222,32.43547222,-86.21872778,-86.21872778
33.46616944,33.46616944,-87.05753056,-87.05753056
31.31367222,31.31367222,-85.78477222,-85.78477222
33.89948889,33.89948889,-86.03865,-86.03865
34.04395,34.04395,-86.11128333,-86.11128333
31.23761667,31.23761667,-85.52397778,-85.52397778
32.33880833,32.33880833,-85.22884444,-85.22884444
33.08268611,33.08268611,-85.86376389,-85.86376389
32.67565556,32.67565556,-85.35411944,-85.35411944
33.2013,33.2013,-85.41501944,-85.41501944
33.99733611,33.99733611,-86.12445833,-86.12445833
34.147475,34.147475,-86.78220556,-86.78220556
30.47284722,30.47284722,-88.358,-88.358
32.97855833,32.97855833,-86.00443611,-86.00443611
34.75636944,34.75636944,-87.513125,-87.513125
33.03813056,33.03813056,-86.12740278,-86.12740278
34.64282778,34.64282778,-87.65159444,-87.65159444
33.40238889,33.40238889,-86.78660833,-86.78660833
34.57855833,34.57855833,-87.45148611,-87.45148611
33.5888,33.5888,-86.30544167,-86.30544167
34.3536,34.3536,-85.67762222,-85.67762222
33.91050833,33.91050833,-86.33626944,-86.33626944
30.60624722,30.60624722,-87.74058333,-87.74058333
32.83405833,32.83405833,-88.06528889,-88.06528889
34.628375,34.628375,-86.92428333,-86.92428333
33.50555278,33.50555278,-87.75750833,-87.75750833
30.808275,30.808275,-88.31653611,-88.31653611
34.71951944,34.71951944,-86.57361944,-86.57361944
32.93655833,32.93655833,-86.61577222,-86.61577222
32.51580556,32.51580556,-85.09479722,-85.09479722
30.69829722,30.69829722,-88.23828889,-88.23828889
32.82139444,32.82139444,-85.60930833,-85.60930833
33.58699722,33.58699722,-86.68313889,-86.68313889
34.51267222,34.51267222,-86.87813889,-86.87813889
31.37155833,31.37155833,-85.88556944,-85.88556944
33.33520556,33.33520556,-86.94613333,-86.94613333
30.75,30.75,-88.09726111,-88.09726111
33.48442222,33.48442222,-86.918825,-86.918825
33.69986389,33.69986389,-86.52506667,-86.52506667
33.31902222,33.31902222,-86.78682778,-86.78682778
31.02217778,31.02217778,-87.65139167,-87.65139167
33.47441667,33.47441667,-86.92891667,-86.92891667
34.60429444,34.60429444,-86.89833889,-86.89833889
34.85634444,34.85634444,-86.92805,-86.92805
31.56023611,31.56023611,-86.86529167,-86.86529167
34.79078333,34.79078333,-86.9392,-86.9392
32.21713333,32.21713333,-86.39986389,-86.39986389
30.62780278,30.62780278,-87.60538333,-87.60538333
30.57955556,30.57955556,-88.08345278,-88.08345278
34.9436,34.9436,-86.48232778,-86.48232778
33.85326944,33.85326944,-85.91561667,-85.91561667
33.0024,33.0024,-86.86798889,-86.86798889
33.54635278,33.54635278,-86.21763889,-86.21763889
33.41402778,33.41402778,-88.151575,-88.151575
33.62515278,33.62515278,-85.8317,-85.8317
33.895725,33.895725,-87.81364722,-87.81364722
33.96368333,33.96368333,-85.75076111,-85.75076111
32.43849167,32.43849167,-87.11839167,-87.11839167
32.45634167,32.45634167,-85.76093333,-85.76093333
34.33459444,34.33459444,-86.85260833,-86.85260833
30.58741667,30.58741667,-87.66623611,-87.66623611
33.51181667,33.51181667,-86.84919722,-86.84919722
34.73606111,34.73606111,-86.60955,-86.60955
30.771325,30.771325,-88.26853333,-88.26853333
